complaint_text,category,priority,department
HR is not responding to my resignation email,HR,High,HR
Scanner in Sports Complex is out of order,Hardware,Low,IT
Mobile app crashes when I open course registration section,Software,Medium,Development
Result of course registration not uploaded on portal,Academic,High,Academic Office
Mess food quality complaint for Library,Hostel,Medium,Hostel Office
Parking issue near Library,Administration,Low,Admin Office
Appointment letter not issued yet,HR,High,HR
Security guard misbehavior reported near Cafeteria,Administration,Low,Admin Office
Scanner in Lab 1 is out of order,Hardware,Low,IT
WiFi signal is very weak near Computer Lab,Network,Medium,IT
Refund request for transcript not processed,Finance,High,Accounts
Network is extremely slow in Lab 1,Network,High,IT
Network is extremely slow in Seminar Hall,Network,Medium,IT
Cleanliness issue in Girls Hostel,Administration,Low,Admin Office
Water is not available in hostel Admin Block,Hostel,High,Hostel Office
Attendance shortage error for thesis document course,Academic,High,Academic Office
Unable to upload leave application on the student portal,Software,Medium,Development
Hostel WiFi not working in room D-109,Hostel,High,Hostel Office
Incorrect GPA shown for semester 5th,Academic,Medium,Academic Office
Leave request not approved since October,HR,Medium,HR
Student portal is down and I cannot login,Software,High,Development
Monitor in Girls Hostel has a black screen,Hardware,Medium,IT
Electricity issue in hostel room D-108,Hostel,Low,Hostel Office
WiFi signal is very weak near Admin Block,Network,Medium,IT
Electricity issue in hostel room A-110,Hostel,High,Hostel Office
HR is not responding to my resignation email,HR,Medium,HR
Mobile app crashes when I open assignment section,Software,High,Development
WiFi signal is very weak near Sports Complex,Network,Medium,IT
Result of result card not uploaded on portal,Academic,High,Academic Office
Incorrect GPA shown for semester 3rd,Academic,High,Academic Office
Scholarship amount not credited for February,Finance,Medium,Accounts
Course registration issue for profile picture,Academic,Medium,Academic Office
Fee already paid but portal shows result card pending,Finance,Medium,Accounts
Scanner in Library is out of order,Hardware,Low,IT
Scholarship amount not credited for December,Finance,High,Accounts
Hostel WiFi not working in room B-105,Hostel,Low,Hostel Office
Monitor in Auditorium has a black screen,Hardware,Medium,IT
Network is extremely slow in Sports Complex,Network,Medium,IT
HR is not responding to my resignation email,HR,High,HR
Refund request for result card not processed,Finance,High,Accounts
Projector in Seminar Hall is not turning on,Hardware,Low,IT
Duplicate fee charged for attendance sheet,Finance,High,Accounts
Fee voucher is showing incorrect amount,Finance,High,Accounts
Appointment letter not issued yet,HR,Medium,HR
WiFi signal is very weak near Auditorium,Network,High,IT
Electricity issue in hostel room A-118,Hostel,Medium,Hostel Office
Electricity issue in hostel room D-114,Hostel,Medium,Hostel Office
Mobile app crashes when I open attendance sheet section,Software,High,Development
WiFi signal is very weak near Lab 2,Network,Medium,IT
Keyboard in Lab 3 lab is broken,Hardware,Low,IT
Mobile app crashes when I open attendance sheet section,Software,High,Development
Cleanliness issue in Lab 2,Administration,Low,Admin Office
Appointment letter not issued yet,HR,High,HR
Projector in Cafeteria is not turning on,Hardware,Low,IT
Cleanliness issue in Lab 1,Administration,Low,Admin Office
Projector in Cafeteria is not turning on,Hardware,Low,IT
Fee voucher is showing incorrect amount,Finance,High,Accounts
WiFi is not working in Lab 2,Network,Medium,IT
Security guard misbehavior reported near Admin Block,Administration,Medium,Admin Office
Portal is showing incorrect assignment details,Software,High,Development
Security guard misbehavior reported near Library,Administration,Medium,Admin Office
Result of profile picture not uploaded on portal,Academic,High,Academic Office
Monitor in Boys Hostel has a black screen,Hardware,Low,IT
Keyboard in Main Block lab is broken,Hardware,Low,IT
Printer in Computer Lab is not printing,Hardware,Low,IT
Electricity issue in hostel room A-108,Hostel,Medium,Hostel Office
Incorrect deduction shown in December salary slip,HR,Medium,HR
Fee voucher is showing incorrect amount,Finance,Medium,Accounts
Projector in Library is not turning on,Hardware,Low,IT
Hostel room A-112 AC is not working,Hostel,Low,Hostel Office
No response from admin office regarding assignment,Administration,Medium,Admin Office
Parking issue near Auditorium,Administration,Medium,Admin Office
Fee already paid but portal shows thesis document pending,Finance,High,Accounts
Student portal is down and I cannot login,Software,High,Development
Hostel WiFi not working in room C-110,Hostel,Low,Hostel Office
Printer in Girls Hostel is not printing,Hardware,Medium,IT
Portal shows error 500 when submitting profile picture,Software,High,Development
Electricity issue in hostel room D-116,Hostel,Medium,Hostel Office
Hostel WiFi not working in room C-113,Hostel,Low,Hostel Office
Security guard misbehavior reported near Boys Hostel,Administration,Medium,Admin Office
Student portal is down and I cannot login,Software,Medium,Development
Water is not available in hostel Lab 2,Hostel,High,Hostel Office
Exam datesheet clash between leave application and Operating Systems,Academic,Medium,Academic Office
Transcript request pending since April,Academic,High,Academic Office
Fee already paid but portal shows course registration pending,Finance,High,Accounts
Fee already paid but portal shows result card pending,Finance,Medium,Accounts
Washroom in hostel Lab 2 needs urgent repair,Hostel,Low,Hostel Office
Transcript request pending since August,Academic,Medium,Academic Office
LAN cable in Computer Lab is not working,Network,Medium,IT
Fee already paid but portal shows result card pending,Finance,High,Accounts
Incorrect deduction shown in August salary slip,HR,High,HR
Mobile app crashes when I open attendance sheet section,Software,Medium,Development
Portal is showing incorrect transcript details,Software,High,Development
Hostel room C-111 AC is not working,Hostel,Low,Hostel Office
Scholarship amount not credited for November,Finance,High,Accounts
LAN cable in Library is not working,Network,Low,IT
Projector in Lab 2 is not turning on,Hardware,Medium,IT
Mobile app crashes when I open internship report section,Software,High,Development
Network is extremely slow in Library,Network,High,IT
Leave request not approved since May,HR,High,HR
Hostel WiFi not working in room C-103,Hostel,Medium,Hostel Office
Refund request for internship report not processed,Finance,High,Accounts
Noise complaint from Admin Block during exams,Administration,Low,Admin Office
Attendance shortage error for transcript course,Academic,High,Academic Office
Exam datesheet clash between internship report and Operating Systems,Academic,High,Academic Office
Attendance shortage error for attendance sheet course,Academic,Medium,Academic Office
Hostel room A-101 AC is not working,Hostel,High,Hostel Office
Monitor in Boys Hostel has a black screen,Hardware,Low,IT
Printer in Library is not printing,Hardware,Medium,IT
Incorrect GPA shown for semester 3rd,Academic,High,Academic Office
Leave request not approved since May,HR,High,HR
Student portal is down and I cannot login,Software,Medium,Development
No response from admin office regarding fee challan,Administration,Medium,Admin Office
Parking issue near Reading Room,Administration,Low,Admin Office
Scholarship amount not credited for July,Finance,High,Accounts
Unable to upload fee challan on the student portal,Software,Medium,Development
Mobile app crashes when I open course registration section,Software,Medium,Development
WiFi is not working in Main Block,Network,Medium,IT
WiFi signal is very weak near Main Block,Network,High,IT
Student portal is down and I cannot login,Software,Medium,Development
Scholarship amount not credited for March,Finance,High,Accounts
ID card not issued after December,Administration,Low,Admin Office
WiFi is not working in Boys Hostel,Network,Low,IT
Internet connection keeps disconnecting in Library,Network,Medium,IT
Bank transaction failed but amount deducted for leave application,Finance,Medium,Accounts
Keyboard in Lab 1 lab is broken,Hardware,Low,IT
Hostel WiFi not working in room B-118,Hostel,High,Hostel Office
Washroom in hostel Seminar Hall needs urgent repair,Hostel,Medium,Hostel Office
Computer in Seminar Hall is not booting up,Hardware,Medium,IT
Refund request for leave application not processed,Finance,High,Accounts
Duplicate fee charged for result card,Finance,High,Accounts
Bank transaction failed but amount deducted for result card,Finance,High,Accounts
Course registration issue for assignment,Academic,High,Academic Office
WiFi is not working in Main Block,Network,High,IT
Scanner in Lab 2 is out of order,Hardware,Low,IT
Appointment letter not issued yet,HR,High,HR
Refund request for result card not processed,Finance,High,Accounts
Security guard misbehavior reported near Sports Complex,Administration,Low,Admin Office
Hostel room B-113 AC is not working,Hostel,Low,Hostel Office
Provident fund details are missing for October,HR,Medium,HR
Mess food quality complaint for Main Block,Hostel,High,Hostel Office
Mobile app crashes when I open course registration section,Software,Medium,Development
Bank transaction failed but amount deducted for fee challan,Finance,High,Accounts
